Id,ActivityDateTime,Calories
5577150313,2016-04-01 00:00:00,79
5577150313,2016-04-01 01:00:00,78
5577150313,2016-04-01 02:00:00,78
5577150313,2016-04-01 03:00:00,78
5577150313,2016-04-01 04:00:00,78
5577150313,2016-04-01 05:00:00,145
5577150313,2016-04-01 06:00:00,369
5577150313,2016-04-01 07:00:00,152
5577150313,2016-04-01 08:00:00,109
5577150313,2016-04-01 09:00:00,121
5577150313,2016-04-01 10:00:00,145
5577150313,2016-04-01 11:00:00,320
5577150313,2016-04-01 12:00:00,88
5577150313,2016-04-01 13:00:00,86
5577150313,2016-04-01 14:00:00,88
5577150313,2016-04-01 15:00:00,95
5577150313,2016-04-01 16:00:00,91
5577150313,2016-04-01 17:00:00,203
5577150313,2016-04-01 18:00:00,120
5577150313,2016-04-01 19:00:00,608
5577150313,2016-04-01 20:00:00,218
5577150313,2016-04-01 21:00:00,119
5577150313,2016-04-01 22:00:00,81
5577150313,2016-04-01 23:00:00,77
5577150313,2016-04-02 00:00:00,98
5577150313,2016-04-02 01:00:00,79
5577150313,2016-04-02 02:00:00,84
5577150313,2016-04-02 03:00:00,83
5577150313,2016-04-02 04:00:00,78
5577150313,2016-04-02 05:00:00,81
5577150313,2016-04-02 06:00:00,144
5577150313,2016-04-02 07:00:00,433
5577150313,2016-04-02 08:00:00,95
5577150313,2016-04-02 09:00:00,166
5577150313,2016-04-02 10:00:00,409
5577150313,2016-04-02 11:00:00,632
5577150313,2016-04-02 12:00:00,574
5577150313,2016-04-02 13:00:00,128
5577150313,2016-04-02 14:00:00,256
5577150313,2016-04-02 15:00:00,95
5577150313,2016-04-02 16:00:00,92
5577150313,2016-04-02 17:00:00,165
5577150313,2016-04-02 18:00:00,108
5577150313,2016-04-02 19:00:00,199
5577150313,2016-04-02 20:00:00,170
5577150313,2016-04-02 21:00:00,79
5577150313,2016-04-02 22:00:00,105
5577150313,2016-04-02 23:00:00,79
5577150313,2016-04-03 00:00:00,80
5577150313,2016-04-03 01:00:00,77
5577150313,2016-04-03 02:00:00,79
5577150313,2016-04-03 03:00:00,79
5577150313,2016-04-03 04:00:00,85
5577150313,2016-04-03 05:00:00,155
5577150313,2016-04-03 06:00:00,216
5577150313,2016-04-03 07:00:00,227
5577150313,2016-04-03 08:00:00,81
5577150313,2016-04-03 09:00:00,143
5577150313,2016-04-03 10:00:00,243
5577150313,2016-04-03 11:00:00,209
5577150313,2016-04-03 12:00:00,127
5577150313,2016-04-03 13:00:00,165
5577150313,2016-04-03 14:00:00,107
5577150313,2016-04-03 15:00:00,243
5577150313,2016-04-03 16:00:00,169
5577150313,2016-04-03 17:00:00,193
5577150313,2016-04-03 18:00:00,200
5577150313,2016-04-03 19:00:00,184
5577150313,2016-04-03 20:00:00,103
5577150313,2016-04-03 21:00:00,99
5577150313,2016-04-03 22:00:00,78
5577150313,2016-04-03 23:00:00,85
5577150313,2016-04-04 00:00:00,78
5577150313,2016-04-04 01:00:00,77
5577150313,2016-04-04 02:00:00,77
5577150313,2016-04-04 03:00:00,82
5577150313,2016-04-04 04:00:00,78
5577150313,2016-04-04 05:00:00,93
5577150313,2016-04-04 06:00:00,389
5577150313,2016-04-04 07:00:00,239
5577150313,2016-04-04 08:00:00,186
5577150313,2016-04-04 09:00:00,189
5577150313,2016-04-04 10:00:00,131
5577150313,2016-04-04 11:00:00,158
5577150313,2016-04-04 12:00:00,191
5577150313,2016-04-04 13:00:00,104
5577150313,2016-04-04 14:00:00,100
5577150313,2016-04-04 15:00:00,107
5577150313,2016-04-04 16:00:00,272
5577150313,2016-04-04 17:00:00,143
5577150313,2016-04-04 18:00:00,140
5577150313,2016-04-04 19:00:00,237
5577150313,2016-04-04 20:00:00,169
5577150313,2016-04-04 21:00:00,91
5577150313,2016-04-04 22:00:00,77
5577150313,2016-04-04 23:00:00,85
5577150313,2016-04-05 00:00:00,77
5577150313,2016-04-05 01:00:00,77
5577150313,2016-04-05 02:00:00,78
5577150313,2016-04-05 03:00:00,90
5577150313,2016-04-05 04:00:00,78
5577150313,2016-04-05 05:00:00,80
5577150313,2016-04-05 06:00:00,485
5577150313,2016-04-05 07:00:00,200
5577150313,2016-04-05 08:00:00,118
5577150313,2016-04-05 09:00:00,107
5577150313,2016-04-05 10:00:00,359
5577150313,2016-04-05 11:00:00,84
5577150313,2016-04-05 12:00:00,120
5577150313,2016-04-05 13:00:00,122
5577150313,2016-04-05 14:00:00,95
5577150313,2016-04-05 15:00:00,114
5577150313,2016-04-05 16:00:00,330
5577150313,2016-04-05 17:00:00,106
5577150313,2016-04-05 18:00:00,103
5577150313,2016-04-05 19:00:00,397
5577150313,2016-04-05 20:00:00,116
5577150313,2016-04-05 21:00:00,83
5577150313,2016-04-05 22:00:00,97
5577150313,2016-04-05 23:00:00,79
5577150313,2016-04-06 00:00:00,78
5577150313,2016-04-06 01:00:00,79
5577150313,2016-04-06 02:00:00,77
5577150313,2016-04-06 03:00:00,77
5577150313,2016-04-06 04:00:00,82
5577150313,2016-04-06 05:00:00,168
5577150313,2016-04-06 06:00:00,488
5577150313,2016-04-06 07:00:00,176
5577150313,2016-04-06 08:00:00,259
5577150313,2016-04-06 09:00:00,128
5577150313,2016-04-06 10:00:00,88
5577150313,2016-04-06 11:00:00,225
5577150313,2016-04-06 12:00:00,92
5577150313,2016-04-06 13:00:00,106
5577150313,2016-04-06 14:00:00,381
5577150313,2016-04-06 15:00:00,131
5577150313,2016-04-06 16:00:00,120
5577150313,2016-04-06 17:00:00,167
5577150313,2016-04-06 18:00:00,125
5577150313,2016-04-06 19:00:00,249
5577150313,2016-04-06 20:00:00,205
5577150313,2016-04-06 21:00:00,87
5577150313,2016-04-06 22:00:00,95
5577150313,2016-04-06 23:00:00,81
5577150313,2016-04-07 00:00:00,78
5577150313,2016-04-07 01:00:00,78
5577150313,2016-04-07 02:00:00,78
5577150313,2016-04-07 03:00:00,78
5577150313,2016-04-07 04:00:00,81
5577150313,2016-04-07 05:00:00,87
5577150313,2016-04-07 06:00:00,371
5577150313,2016-04-07 07:00:00,156
5577150313,2016-04-07 08:00:00,88
5577150313,2016-04-07 09:00:00,81
5577150313,2016-04-07 10:00:00,93
5577150313,2016-04-07 11:00:00,82
5577150313,2016-04-07 12:00:00,81
5577150313,2016-04-07 13:00:00,89
5577150313,2016-04-07 14:00:00,115
5577150313,2016-04-07 15:00:00,116
5577150313,2016-04-07 16:00:00,139
5577150313,2016-04-07 17:00:00,160
5577150313,2016-04-07 18:00:00,146
5577150313,2016-04-07 19:00:00,118
5577150313,2016-04-07 20:00:00,200
5577150313,2016-04-07 21:00:00,95
5577150313,2016-04-07 22:00:00,78
5577150313,2016-04-07 23:00:00,87
5577150313,2016-04-08 00:00:00,78
5577150313,2016-04-08 01:00:00,78
5577150313,2016-04-08 02:00:00,78
5577150313,2016-04-08 03:00:00,77
5577150313,2016-04-08 04:00:00,79
5577150313,2016-04-08 05:00:00,90
5577150313,2016-04-08 06:00:00,213
5577150313,2016-04-08 07:00:00,129
5577150313,2016-04-08 08:00:00,83
5577150313,2016-04-08 09:00:00,127
5577150313,2016-04-08 10:00:00,114
5577150313,2016-04-08 11:00:00,106
5577150313,2016-04-08 12:00:00,89
5577150313,2016-04-08 13:00:00,79
5577150313,2016-04-08 14:00:00,93
5577150313,2016-04-08 15:00:00,77
5577150313,2016-04-08 16:00:00,77
5577150313,2016-04-08 17:00:00,77
5577150313,2016-04-08 18:00:00,113
5577150313,2016-04-08 19:00:00,210
5577150313,2016-04-08 20:00:00,169
5577150313,2016-04-08 21:00:00,92
5577150313,2016-04-08 22:00:00,77
5577150313,2016-04-08 23:00:00,80
5577150313,2016-04-09 00:00:00,77
5577150313,2016-04-09 01:00:00,82
5577150313,2016-04-09 02:00:00,80
5577150313,2016-04-09 03:00:00,78
5577150313,2016-04-09 04:00:00,77
5577150313,2016-04-09 05:00:00,80
5577150313,2016-04-09 06:00:00,113
5577150313,2016-04-09 07:00:00,448
5577150313,2016-04-09 08:00:00,342
5577150313,2016-04-09 09:00:00,118
5577150313,2016-04-09 10:00:00,100
5577150313,2016-04-09 11:00:00,115
5577150313,2016-04-09 12:00:00,233
5577150313,2016-04-09 13:00:00,247
5577150313,2016-04-09 14:00:00,108
5577150313,2016-04-09 15:00:00,98
5577150313,2016-04-09 16:00:00,362
5577150313,2016-04-09 17:00:00,280
5577150313,2016-04-09 18:00:00,227
5577150313,2016-04-09 19:00:00,124
5577150313,2016-04-09 20:00:00,181
5577150313,2016-04-09 21:00:00,78
5577150313,2016-04-09 22:00:00,77
5577150313,2016-04-09 23:00:00,90
5577150313,2016-04-10 00:00:00,78
5577150313,2016-04-10 01:00:00,79
5577150313,2016-04-10 02:00:00,78
5577150313,2016-04-10 03:00:00,78
5577150313,2016-04-10 04:00:00,79
5577150313,2016-04-10 05:00:00,78
5577150313,2016-04-10 06:00:00,244
5577150313,2016-04-10 07:00:00,92
5577150313,2016-04-10 08:00:00,200
5577150313,2016-04-10 09:00:00,105
5577150313,2016-04-10 10:00:00,226
5577150313,2016-04-10 11:00:00,150
5577150313,2016-04-10 12:00:00,144
5577150313,2016-04-10 13:00:00,155
5577150313,2016-04-10 14:00:00,84
5577150313,2016-04-10 15:00:00,125
5577150313,2016-04-10 16:00:00,171
5577150313,2016-04-10 17:00:00,181
5577150313,2016-04-10 18:00:00,216
5577150313,2016-04-10 19:00:00,247
5577150313,2016-04-10 20:00:00,312
5577150313,2016-04-10 21:00:00,79
5577150313,2016-04-10 22:00:00,98
5577150313,2016-04-10 23:00:00,79
5577150313,2016-04-11 00:00:00,78
5577150313,2016-04-11 01:00:00,78
5577150313,2016-04-11 02:00:00,79
5577150313,2016-04-11 03:00:00,81
5577150313,2016-04-11 04:00:00,78
5577150313,2016-04-11 05:00:00,87
5577150313,2016-04-11 06:00:00,435
5577150313,2016-04-11 07:00:00,135
5577150313,2016-04-11 08:00:00,127
5577150313,2016-04-11 09:00:00,208
