Id,ActivityDateTime,TotalIntensity,AverageIntensity
5577150313,2016-04-01 00:00:00,1,0.016667
5577150313,2016-04-01 01:00:00,0,0.0
5577150313,2016-04-01 02:00:00,0,0.0
5577150313,2016-04-01 03:00:00,0,0.0
5577150313,2016-04-01 04:00:00,0,0.0
5577150313,2016-04-01 05:00:00,21,0.35
5577150313,2016-04-01 06:00:00,97,1.616667
5577150313,2016-04-01 07:00:00,14,0.233333
5577150313,2016-04-01 08:00:00,5,0.083333
5577150313,2016-04-01 09:00:00,8,0.133333
5577150313,2016-04-01 10:00:00,18,0.3
5577150313,2016-04-01 11:00:00,81,1.35
5577150313,2016-04-01 12:00:00,0,0.0
5577150313,2016-04-01 13:00:00,0,0.0
5577150313,2016-04-01 14:00:00,2,0.033333
5577150313,2016-04-01 15:00:00,4,0.066667
5577150313,2016-04-01 16:00:00,0,0.0
5577150313,2016-04-01 17:00:00,49,0.816667
5577150313,2016-04-01 18:00:00,11,0.183333
5577150313,2016-04-01 19:00:00,137,2.283333
5577150313,2016-04-01 20:00:00,42,0.7
5577150313,2016-04-01 21:00:00,10,0.166667
5577150313,2016-04-01 22:00:00,1,0.016667
5577150313,2016-04-01 23:00:00,0,0.0
5577150313,2016-04-02 00:00:00,7,0.116667
5577150313,2016-04-02 01:00:00,0,0.0
5577150313,2016-04-02 02:00:00,2,0.033333
5577150313,2016-04-02 03:00:00,0,0.0
5577150313,2016-04-02 04:00:00,0,0.0
5577150313,2016-04-02 05:00:00,2,0.033333
5577150313,2016-04-02 06:00:00,23,0.383333
5577150313,2016-04-02 07:00:00,111,1.85
5577150313,2016-04-02 08:00:00,5,0.083333
5577150313,2016-04-02 09:00:00,17,0.283333
5577150313,2016-04-02 10:00:00,121,2.016667
5577150313,2016-04-02 11:00:00,180,3.0
5577150313,2016-04-02 12:00:00,164,2.733333
5577150313,2016-04-02 13:00:00,14,0.233333
5577150313,2016-04-02 14:00:00,62,1.033333
5577150313,2016-04-02 15:00:00,1,0.016667
5577150313,2016-04-02 16:00:00,4,0.066667
5577150313,2016-04-02 17:00:00,32,0.533333
5577150313,2016-04-02 18:00:00,10,0.166667
5577150313,2016-04-02 19:00:00,45,0.75
5577150313,2016-04-02 20:00:00,21,0.35
5577150313,2016-04-02 21:00:00,0,0.0
5577150313,2016-04-02 22:00:00,9,0.15
5577150313,2016-04-02 23:00:00,1,0.016667
5577150313,2016-04-03 00:00:00,1,0.016667
5577150313,2016-04-03 01:00:00,0,0.0
5577150313,2016-04-03 02:00:00,0,0.0
5577150313,2016-04-03 03:00:00,1,0.016667
5577150313,2016-04-03 04:00:00,2,0.033333
5577150313,2016-04-03 05:00:00,31,0.516667
5577150313,2016-04-03 06:00:00,43,0.716667
5577150313,2016-04-03 07:00:00,52,0.866667
5577150313,2016-04-03 08:00:00,0,0.0
5577150313,2016-04-03 09:00:00,20,0.333333
5577150313,2016-04-03 10:00:00,38,0.633333
5577150313,2016-04-03 11:00:00,34,0.566667
5577150313,2016-04-03 12:00:00,12,0.2
5577150313,2016-04-03 13:00:00,28,0.466667
5577150313,2016-04-03 14:00:00,6,0.1
5577150313,2016-04-03 15:00:00,54,0.9
5577150313,2016-04-03 16:00:00,31,0.516667
5577150313,2016-04-03 17:00:00,37,0.616667
5577150313,2016-04-03 18:00:00,43,0.716667
5577150313,2016-04-03 19:00:00,18,0.3
5577150313,2016-04-03 20:00:00,8,0.133333
5577150313,2016-04-03 21:00:00,7,0.116667
5577150313,2016-04-03 22:00:00,0,0.0
5577150313,2016-04-03 23:00:00,2,0.033333
5577150313,2016-04-04 00:00:00,0,0.0
5577150313,2016-04-04 01:00:00,0,0.0
5577150313,2016-04-04 02:00:00,0,0.0
5577150313,2016-04-04 03:00:00,2,0.033333
5577150313,2016-04-04 04:00:00,0,0.0
5577150313,2016-04-04 05:00:00,7,0.116667
5577150313,2016-04-04 06:00:00,105,1.75
5577150313,2016-04-04 07:00:00,51,0.85
5577150313,2016-04-04 08:00:00,21,0.35
5577150313,2016-04-04 09:00:00,23,0.383333
5577150313,2016-04-04 10:00:00,12,0.2
5577150313,2016-04-04 11:00:00,17,0.283333
5577150313,2016-04-04 12:00:00,26,0.433333
5577150313,2016-04-04 13:00:00,3,0.05
5577150313,2016-04-04 14:00:00,4,0.066667
5577150313,2016-04-04 15:00:00,8,0.133333
5577150313,2016-04-04 16:00:00,51,0.85
5577150313,2016-04-04 17:00:00,12,0.2
5577150313,2016-04-04 18:00:00,20,0.333333
5577150313,2016-04-04 19:00:00,49,0.816667
5577150313,2016-04-04 20:00:00,33,0.55
5577150313,2016-04-04 21:00:00,5,0.083333
5577150313,2016-04-04 22:00:00,0,0.0
5577150313,2016-04-04 23:00:00,3,0.05
5577150313,2016-04-05 00:00:00,0,0.0
5577150313,2016-04-05 01:00:00,0,0.0
5577150313,2016-04-05 02:00:00,0,0.0
5577150313,2016-04-05 03:00:00,5,0.083333
5577150313,2016-04-05 04:00:00,0,0.0
5577150313,2016-04-05 05:00:00,1,0.016667
5577150313,2016-04-05 06:00:00,135,2.25
5577150313,2016-04-05 07:00:00,45,0.75
5577150313,2016-04-05 08:00:00,8,0.133333
5577150313,2016-04-05 09:00:00,5,0.083333
5577150313,2016-04-05 10:00:00,64,1.066667
5577150313,2016-04-05 11:00:00,0,0.0
5577150313,2016-04-05 12:00:00,11,0.183333
5577150313,2016-04-05 13:00:00,12,0.2
5577150313,2016-04-05 14:00:00,4,0.066667
5577150313,2016-04-05 15:00:00,7,0.116667
5577150313,2016-04-05 16:00:00,69,1.15
5577150313,2016-04-05 17:00:00,6,0.1
5577150313,2016-04-05 18:00:00,5,0.083333
5577150313,2016-04-05 19:00:00,107,1.783333
5577150313,2016-04-05 20:00:00,9,0.15
5577150313,2016-04-05 21:00:00,2,0.033333
5577150313,2016-04-05 22:00:00,6,0.1
5577150313,2016-04-05 23:00:00,1,0.016667
5577150313,2016-04-06 00:00:00,0,0.0
5577150313,2016-04-06 01:00:00,1,0.016667
5577150313,2016-04-06 02:00:00,0,0.0
5577150313,2016-04-06 03:00:00,0,0.0
5577150313,2016-04-06 04:00:00,2,0.033333
5577150313,2016-04-06 05:00:00,21,0.35
5577150313,2016-04-06 06:00:00,138,2.3
5577150313,2016-04-06 07:00:00,28,0.466667
5577150313,2016-04-06 08:00:00,50,0.833333
5577150313,2016-04-06 09:00:00,11,0.183333
5577150313,2016-04-06 10:00:00,2,0.033333
5577150313,2016-04-06 11:00:00,49,0.816667
5577150313,2016-04-06 12:00:00,1,0.016667
5577150313,2016-04-06 13:00:00,6,0.1
5577150313,2016-04-06 14:00:00,114,1.9
5577150313,2016-04-06 15:00:00,8,0.133333
5577150313,2016-04-06 16:00:00,7,0.116667
5577150313,2016-04-06 17:00:00,17,0.283333
5577150313,2016-04-06 18:00:00,5,0.083333
5577150313,2016-04-06 19:00:00,35,0.583333
5577150313,2016-04-06 20:00:00,43,0.716667
5577150313,2016-04-06 21:00:00,0,0.0
5577150313,2016-04-06 22:00:00,4,0.066667
5577150313,2016-04-06 23:00:00,1,0.016667
5577150313,2016-04-07 00:00:00,0,0.0
5577150313,2016-04-07 01:00:00,0,0.0
5577150313,2016-04-07 02:00:00,0,0.0
5577150313,2016-04-07 03:00:00,0,0.0
5577150313,2016-04-07 04:00:00,2,0.033333
5577150313,2016-04-07 05:00:00,4,0.066667
5577150313,2016-04-07 06:00:00,104,1.733333
5577150313,2016-04-07 07:00:00,24,0.4
5577150313,2016-04-07 08:00:00,0,0.0
5577150313,2016-04-07 09:00:00,0,0.0
5577150313,2016-04-07 10:00:00,6,0.1
5577150313,2016-04-07 11:00:00,1,0.016667
5577150313,2016-04-07 12:00:00,0,0.0
5577150313,2016-04-07 13:00:00,3,0.05
5577150313,2016-04-07 14:00:00,8,0.133333
5577150313,2016-04-07 15:00:00,7,0.116667
5577150313,2016-04-07 16:00:00,17,0.283333
5577150313,2016-04-07 17:00:00,26,0.433333
5577150313,2016-04-07 18:00:00,17,0.283333
5577150313,2016-04-07 19:00:00,10,0.166667
5577150313,2016-04-07 20:00:00,22,0.366667
5577150313,2016-04-07 21:00:00,6,0.1
5577150313,2016-04-07 22:00:00,0,0.0
5577150313,2016-04-07 23:00:00,4,0.066667
5577150313,2016-04-08 00:00:00,0,0.0
5577150313,2016-04-08 01:00:00,0,0.0
5577150313,2016-04-08 02:00:00,0,0.0
5577150313,2016-04-08 03:00:00,0,0.0
5577150313,2016-04-08 04:00:00,0,0.0
5577150313,2016-04-08 05:00:00,4,0.066667
5577150313,2016-04-08 06:00:00,43,0.716667
5577150313,2016-04-08 07:00:00,16,0.266667
5577150313,2016-04-08 08:00:00,1,0.016667
5577150313,2016-04-08 09:00:00,19,0.316667
5577150313,2016-04-08 10:00:00,15,0.25
5577150313,2016-04-08 11:00:00,9,0.15
5577150313,2016-04-08 12:00:00,4,0.066667
5577150313,2016-04-08 13:00:00,0,0.0
5577150313,2016-04-08 14:00:00,5,0.083333
5577150313,2016-04-08 15:00:00,0,0.0
5577150313,2016-04-08 16:00:00,0,0.0
5577150313,2016-04-08 17:00:00,0,0.0
5577150313,2016-04-08 18:00:00,6,0.1
5577150313,2016-04-08 19:00:00,39,0.65
5577150313,2016-04-08 20:00:00,19,0.316667
5577150313,2016-04-08 21:00:00,3,0.05
5577150313,2016-04-08 22:00:00,0,0.0
5577150313,2016-04-08 23:00:00,1,0.016667
5577150313,2016-04-09 00:00:00,0,0.0
5577150313,2016-04-09 01:00:00,2,0.033333
5577150313,2016-04-09 02:00:00,0,0.0
5577150313,2016-04-09 03:00:00,0,0.0
5577150313,2016-04-09 04:00:00,0,0.0
5577150313,2016-04-09 05:00:00,1,0.016667
5577150313,2016-04-09 06:00:00,14,0.233333
5577150313,2016-04-09 07:00:00,132,2.2
5577150313,2016-04-09 08:00:00,84,1.4
5577150313,2016-04-09 09:00:00,9,0.15
5577150313,2016-04-09 10:00:00,5,0.083333
5577150313,2016-04-09 11:00:00,12,0.2
5577150313,2016-04-09 12:00:00,56,0.933333
5577150313,2016-04-09 13:00:00,49,0.816667
5577150313,2016-04-09 14:00:00,5,0.083333
5577150313,2016-04-09 15:00:00,6,0.1
5577150313,2016-04-09 16:00:00,98,1.633333
5577150313,2016-04-09 17:00:00,69,1.15
5577150313,2016-04-09 18:00:00,54,0.9
5577150313,2016-04-09 19:00:00,9,0.15
5577150313,2016-04-09 20:00:00,22,0.366667
5577150313,2016-04-09 21:00:00,0,0.0
5577150313,2016-04-09 22:00:00,0,0.0
5577150313,2016-04-09 23:00:00,4,0.066667
5577150313,2016-04-10 00:00:00,0,0.0
5577150313,2016-04-10 01:00:00,1,0.016667
5577150313,2016-04-10 02:00:00,0,0.0
5577150313,2016-04-10 03:00:00,0,0.0
5577150313,2016-04-10 04:00:00,1,0.016667
5577150313,2016-04-10 05:00:00,0,0.0
5577150313,2016-04-10 06:00:00,42,0.7
5577150313,2016-04-10 07:00:00,3,0.05
5577150313,2016-04-10 08:00:00,28,0.466667
5577150313,2016-04-10 09:00:00,8,0.133333
5577150313,2016-04-10 10:00:00,50,0.833333
5577150313,2016-04-10 11:00:00,19,0.316667
5577150313,2016-04-10 12:00:00,20,0.333333
5577150313,2016-04-10 13:00:00,29,0.483333
5577150313,2016-04-10 14:00:00,2,0.033333
5577150313,2016-04-10 15:00:00,9,0.15
5577150313,2016-04-10 16:00:00,35,0.583333
5577150313,2016-04-10 17:00:00,37,0.616667
5577150313,2016-04-10 18:00:00,46,0.766667
5577150313,2016-04-10 19:00:00,46,0.766667
5577150313,2016-04-10 20:00:00,88,1.466667
5577150313,2016-04-10 21:00:00,0,0.0
5577150313,2016-04-10 22:00:00,7,0.116667
5577150313,2016-04-10 23:00:00,1,0.016667
5577150313,2016-04-11 00:00:00,0,0.0
5577150313,2016-04-11 01:00:00,0,0.0
5577150313,2016-04-11 02:00:00,1,0.016667
5577150313,2016-04-11 03:00:00,1,0.016667
5577150313,2016-04-11 04:00:00,0,0.0
5577150313,2016-04-11 05:00:00,5,0.083333
5577150313,2016-04-11 06:00:00,126,2.1
5577150313,2016-04-11 07:00:00,9,0.15
5577150313,2016-04-11 08:00:00,9,0.15
5577150313,2016-04-11 09:00:00,42,0.7
